STATE,NAME,geo_type,transportation_type,country,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24
37,North Carolina,sub-region,driving,United States,100.0,102.88,105.6,110.99,133.59,120.94,91.71,106.49,104.95,103.77,108.28,123.9,124.16,86.53,99.3,104.13,103.54,108.16,125.08,124.48,87.76,101.72,104.66,104.42,99.57,128.04,121.55,93.44,105.63,107.81,109.35,117.31,151.48,138.47,99.73,114.45,111.95,111.34,96.82,120.82,136.17,97.51,106.65,113.19,115.85,125.59,149.73,150.51,107.88,116.58,117.12,116.45,120.57,147.31,145.04,104.18,116.91,116.87,118.14,117.69,128.13,116.94,80.65,93.32,86.32,84.36,85.07,93.33,77.66,55.54,65.14,67.35,69.98,66.92,73.58,64.41,51.6,63.78,59.2,62.05,65.04,73.49,63.85,50.49,65.9,66.58,68.93,71.94,75.95,68.03,42.68,67.24,74.14,76.45,80.29,90.54,80.2,61.56,73.97,80.53,82.03,76.29,94.12,82.5,67.98,83.46,86.77,87.1,86.03,103.79,96.58,79.79,92.74,89.43,94.35,101.09,111.31,111.05,83.03,,,106.92,114.5,132.64,128.65,100.71,109.34,105.96,105.64,112.56,142.16,137.71,108.63,109.87,124.45,116.65,124.88,139.39,143.39,113.58,126.89,126.39,129.92,135.71,152.79,153.99,122.42,133.88,134.97,136.99,142.03,164.46,165.8,125.74,129.5,126.18,133.7,143.55,165.46,165.83,123.18,142.73,143.62,146.74,151.93,173.26,174.15,131.0,145.3,145.68,152.25,164.72,167.14,138.44,128.17,147.26,142.11,144.99,152.45,174.03,172.84,131.87,145.54,147.93,150.72,156.31,174.55,177.23,134.68,146.06,147.23,151.61,153.54,175.53,177.49,137.32,149.76,149.33,150.79,156.95,175.32,174.95,132.58,138.72,147.52,153.11,157.81,180.13,181.88,143.96,151.75,152.99,154.54,158.36,181.7,172.07,138.2,146.12,146.76,145.67,152.36,172.15,174.91,132.04,140.14,140.91,144.51,148.64,170.97,162.19,128.95,134.51,143.36,146.04,156.98,189.87,176.73,141.46,140.46,143.82,141.39,148.8,172.92,168.94,130.03,140.08,144.54,146.92,136.96,172.68,174.73,129.54,135.39,136.8,139.43,141.92,160.18,167.85,126.13,135.0,127.36,137.46,146.06,171.48,171.22,125.46,133.05,134.32,138.24,145.21,171.53,155.26,113.21,131.63,135.34,140.03,148.28,170.85,178.29,132.15,136.05,135.52,140.36,144.84,174.59,173.07
38,North Dakota,sub-region,driving,United States,100.0,98.69,91.74,101.38,98.87,80.74,84.69,105.46,103.35,100.77,108.41,132.71,126.99,88.15,95.56,102.5,101.14,107.07,130.73,130.91,83.05,98.28,103.67,101.74,107.7,128.07,133.65,96.95,101.3,109.5,88.23,118.64,150.6,137.36,103.92,109.48,109.13,106.34,117.43,145.38,148.64,103.86,104.0,108.8,113.08,119.38,151.03,146.62,98.9,106.67,110.38,110.25,118.3,145.35,141.41,96.05,106.96,115.73,110.8,118.36,131.49,103.67,75.17,86.57,88.13,82.49,74.18,81.52,66.44,55.62,70.93,74.96,73.3,75.56,83.65,68.28,54.66,70.56,71.58,63.69,55.96,67.11,64.06,51.49,70.99,75.24,70.97,74.69,85.19,65.18,44.17,67.93,75.19,81.36,83.02,91.68,78.43,66.23,83.1,85.86,90.28,90.5,100.95,88.95,71.88,94.03,92.99,98.04,104.83,125.36,100.25,80.08,101.28,105.32,109.24,111.81,128.22,97.71,83.2,,,115.22,124.9,148.28,132.11,108.86,131.91,137.85,136.37,147.77,168.96,140.96,112.12,120.29,144.29,150.21,152.87,171.88,154.56,121.78,152.35,151.71,152.34,158.85,180.24,149.65,129.75,153.31,152.33,162.02,171.52,194.41,166.37,137.89,161.37,165.59,168.79,178.24,208.24,172.71,142.98,166.08,174.1,182.95,191.14,222.79,193.87,160.91,178.36,168.63,193.76,203.73,182.44,135.34,143.21,180.87,178.47,182.3,196.87,220.08,197.99,164.98,177.17,183.75,183.45,194.28,212.18,196.35,161.91,173.8,181.98,190.79,193.83,213.39,188.52,161.51,179.98,180.47,191.04,199.22,220.86,201.02,162.81,186.6,182.95,190.09,200.25,220.45,195.73,159.02,181.9,185.41,188.74,194.71,216.43,201.49,167.12,186.04,182.43,185.88,201.11,236.51,220.86,172.17,183.6,179.94,177.51,184.4,215.11,193.61,144.11,167.07,171.5,170.04,188.03,226.02,180.83,145.22,145.12,166.07,163.16,182.42,211.98,202.11,146.74,162.76,165.54,160.63,177.64,209.35,193.6,139.86,154.29,158.64,153.58,166.63,194.78,181.39,133.05,143.56,145.23,147.17,158.39,188.54,175.8,131.31,145.5,144.84,147.74,156.47,192.73,180.02,124.87,142.94,142.53,148.31,159.16,186.22,152.56,120.17,131.8,129.97,145.72,129.06,162.1,148.94
39,Ohio,sub-region,driving,United States,100.0,103.96,105.39,106.7,125.15,109.49,85.52,98.37,101.59,102.56,106.3,124.0,121.19,83.76,95.01,102.83,101.1,106.58,125.18,123.95,85.39,98.21,104.19,101.55,104.25,117.49,118.11,89.34,101.67,107.1,109.73,112.64,139.09,130.79,98.09,106.63,106.67,109.06,112.56,135.27,138.15,97.3,102.37,110.38,111.67,112.88,137.59,138.44,101.03,106.1,112.42,115.35,121.53,139.16,141.81,103.25,110.2,109.45,108.58,104.65,113.88,97.21,71.78,81.89,78.22,74.03,72.97,83.07,66.63,52.62,62.94,54.23,60.18,63.74,66.61,56.94,51.35,60.16,61.57,63.41,67.57,76.45,69.17,49.98,67.49,66.02,72.09,69.53,77.18,72.77,44.27,64.69,71.04,75.43,78.45,79.66,82.25,64.75,82.34,78.74,81.98,82.82,96.29,88.34,62.63,87.67,88.05,84.72,88.92,105.91,103.84,79.47,95.45,94.66,98.62,105.29,109.36,107.56,78.65,,,113.94,111.47,128.33,129.53,98.62,111.09,119.46,124.16,128.63,145.55,138.66,113.02,106.3,135.17,137.37,139.53,150.01,150.68,116.55,134.22,138.45,137.24,140.89,165.31,161.42,127.77,142.07,146.05,142.99,156.18,176.1,166.74,132.42,145.77,153.47,154.66,159.86,184.22,177.82,124.66,145.24,150.72,159.87,167.8,187.38,174.21,141.78,155.47,160.68,167.81,176.91,176.29,140.39,131.77,154.15,157.06,160.76,166.52,182.83,176.14,136.89,154.15,160.22,160.76,162.11,186.22,178.81,135.28,151.84,155.8,152.33,160.1,186.18,178.06,141.05,148.28,157.28,160.34,161.9,180.12,164.7,128.99,150.7,154.13,161.06,166.58,187.07,180.93,144.01,155.49,157.57,162.02,168.91,187.42,181.7,140.06,155.28,157.83,162.97,170.07,191.31,183.77,141.04,150.11,153.59,152.24,155.72,170.62,170.76,134.57,143.47,150.32,148.27,159.54,189.32,179.37,142.31,119.94,147.33,150.62,155.39,179.57,182.69,128.75,142.45,147.15,150.33,158.46,182.76,183.95,133.46,138.73,141.53,143.29,150.23,177.48,178.72,129.97,131.07,136.38,136.8,144.37,168.31,172.77,118.13,130.36,135.63,138.51,145.1,175.03,176.8,124.16,130.65,133.55,136.05,139.01,170.05,172.28,116.31,120.99,126.56,131.45,142.64,165.25,160.37
40,Oklahoma,sub-region,driving,United States,100.0,103.83,102.94,105.05,121.34,123.59,84.8,102.57,99.26,92.41,105.23,122.73,120.17,80.74,98.41,91.93,95.7,104.35,127.0,126.31,83.79,97.83,95.42,56.81,95.19,124.69,122.86,86.01,100.64,103.92,102.72,114.26,142.35,131.47,93.65,108.31,105.16,106.1,113.08,137.96,135.0,87.45,100.94,105.9,108.33,120.68,146.18,144.53,99.87,108.58,114.5,111.89,124.51,150.02,149.69,97.61,109.65,117.48,117.08,123.18,133.24,112.42,80.64,91.34,84.2,82.78,79.37,85.26,70.19,52.03,68.66,70.49,71.61,71.03,76.86,66.83,52.17,60.93,68.41,69.9,68.57,68.86,59.31,48.82,65.27,69.92,72.41,73.7,82.74,66.95,42.21,66.87,69.23,80.31,82.44,86.68,82.17,61.32,82.71,83.4,73.1,91.4,96.79,93.02,73.02,86.63,82.17,93.72,101.61,116.69,108.49,80.91,98.8,104.05,104.53,104.42,122.23,118.13,80.15,,,108.49,119.51,125.15,125.27,105.18,124.33,126.65,129.81,132.16,158.03,148.85,113.13,101.75,126.71,127.97,134.58,162.38,155.84,122.62,129.94,132.27,136.02,145.27,173.5,167.4,125.69,137.91,139.32,142.34,151.46,177.44,170.91,127.65,141.52,142.75,144.99,155.03,169.52,163.0,114.78,140.03,144.04,149.08,158.18,181.28,170.48,128.22,145.34,149.89,151.48,164.57,165.26,128.61,122.19,145.63,146.34,148.58,155.23,173.0,164.01,127.79,142.57,146.41,148.28,155.44,178.2,167.0,129.77,145.77,146.37,149.31,155.87,178.08,166.78,129.05,139.77,137.97,143.02,155.19,175.84,170.32,127.45,149.27,150.65,149.0,156.13,181.1,171.82,133.48,150.55,151.66,155.29,159.37,186.8,179.88,133.24,148.01,148.18,147.33,155.75,182.22,173.75,125.61,140.07,142.48,141.2,147.35,176.98,163.44,117.55,132.04,133.14,138.72,155.72,190.71,170.45,132.14,131.36,140.18,130.66,140.1,169.51,170.08,119.98,136.67,141.18,141.05,149.67,179.07,173.82,121.16,131.75,127.09,132.08,143.1,171.19,163.11,113.28,127.91,130.41,132.03,142.45,169.77,161.92,116.94,126.72,128.98,131.77,141.43,170.59,159.22,117.2,127.78,129.07,134.95,148.36,169.14,159.85,112.47,125.17,125.48,129.17,137.01,157.55,158.16
41,Oregon,sub-region,driving,United States,100.0,99.64,103.27,107.96,127.2,124.28,100.32,110.42,105.6,106.37,116.02,127.99,125.69,93.45,102.01,105.01,107.93,113.0,128.6,123.79,84.69,101.78,104.55,109.19,117.43,136.62,135.42,104.17,108.25,108.96,115.45,124.25,147.78,136.68,115.07,123.07,117.93,118.87,133.42,146.67,139.89,106.34,108.69,114.79,117.92,131.94,144.69,135.49,104.04,105.89,109.41,116.1,119.84,142.8,135.33,103.12,109.06,114.46,112.86,107.6,109.51,85.73,75.2,85.65,79.51,76.64,78.85,83.56,71.22,56.03,57.6,52.51,53.56,55.07,58.21,47.82,40.98,51.67,54.38,54.9,55.87,62.03,51.55,45.15,55.81,58.28,60.67,63.87,69.83,60.29,42.98,61.09,63.32,66.64,70.02,78.06,65.2,57.86,70.35,67.05,65.86,71.5,77.61,70.04,62.78,69.31,73.89,74.46,78.35,89.25,74.05,65.01,77.19,80.92,80.89,87.53,101.98,94.54,73.76,,,86.01,90.64,109.67,94.57,82.01,90.59,96.2,97.79,102.5,122.02,115.66,102.05,96.36,105.93,112.63,119.73,130.89,103.44,98.3,112.28,111.86,115.54,119.14,133.16,117.91,101.03,113.65,113.48,123.05,127.88,140.05,129.31,117.79,122.35,125.04,134.91,144.45,164.88,141.96,122.19,142.09,145.51,143.97,152.22,173.45,154.84,131.32,142.21,141.45,148.89,162.91,163.31,120.14,136.24,143.63,142.4,148.65,152.72,177.17,164.85,141.68,148.21,149.48,156.48,161.29,176.35,169.11,150.64,155.72,151.75,153.48,158.56,177.0,168.89,162.62,153.44,151.49,156.03,162.63,183.16,169.12,150.14,155.24,155.4,159.11,159.05,185.59,169.36,153.22,158.38,154.62,157.73,165.88,189.0,179.67,154.67,154.89,154.66,159.05,168.11,182.82,171.56,153.72,151.6,152.2,155.12,163.83,183.29,168.9,144.29,146.82,150.88,153.98,165.53,189.87,170.64,155.38,155.27,184.2,170.26,164.54,150.43,125.02,101.96,118.47,121.09,126.13,130.11,149.99,148.08,125.64,133.8,133.96,136.1,138.11,155.76,149.5,127.13,130.61,129.18,133.32,139.79,158.29,150.84,123.57,125.49,127.41,127.78,134.47,160.61,140.08,113.88,120.72,117.49,125.92,134.21,156.54,152.76,118.18,119.72,122.05,125.72,130.28,147.76,140.81
42,Pennsylvania,sub-region,driving,United States,100.0,102.61,104.18,106.05,126.14,90.9,90.79,102.02,99.21,101.94,103.98,122.14,116.31,86.11,93.3,98.34,99.46,103.44,123.66,121.03,82.47,96.67,98.91,99.77,102.87,114.49,120.02,92.2,98.33,102.07,104.83,113.38,138.99,132.2,102.4,109.29,104.74,105.77,109.0,131.78,133.99,98.12,101.98,105.57,108.11,110.22,133.56,132.96,99.47,103.71,106.61,109.78,115.05,134.57,133.31,100.29,107.57,105.48,106.5,101.97,110.75,98.06,72.89,78.52,68.82,68.36,64.29,68.77,57.0,45.16,45.27,49.5,47.37,54.53,59.54,45.72,41.03,49.85,49.44,52.28,53.04,58.99,52.78,44.23,54.0,53.4,55.78,54.6,60.89,57.86,37.42,48.71,57.22,60.79,60.97,66.9,62.57,54.85,62.1,59.07,64.79,63.9,70.18,73.41,49.45,64.46,70.41,70.12,68.51,84.47,85.07,68.41,75.96,78.69,75.21,85.11,88.41,87.89,71.0,,,93.66,94.86,111.46,108.7,83.87,95.79,100.85,103.18,109.71,116.96,107.82,93.39,89.06,109.12,112.08,108.81,122.36,123.55,97.5,108.06,110.39,110.99,120.49,134.15,134.37,109.95,122.01,126.31,126.21,127.66,151.6,144.34,114.77,127.2,131.35,132.92,134.34,153.33,144.35,109.88,130.74,135.54,140.5,144.93,166.09,154.48,128.75,139.69,143.08,146.78,157.54,155.72,124.81,122.67,134.11,141.11,142.69,151.03,157.19,159.83,129.97,141.23,145.4,147.19,148.2,167.78,164.84,131.05,140.4,143.33,142.9,147.78,169.07,168.87,135.45,142.76,145.42,151.52,153.86,165.53,166.41,129.38,144.11,140.87,160.7,154.99,171.46,173.52,140.12,148.34,149.6,150.88,154.66,177.11,171.63,134.8,146.67,151.71,153.65,161.01,181.07,175.99,135.47,141.89,142.87,145.76,148.78,165.47,155.62,134.72,132.85,137.77,139.06,147.04,177.54,167.88,136.71,122.85,134.81,137.73,139.21,168.8,172.93,124.88,131.21,136.65,137.55,144.79,171.26,175.53,128.43,127.76,130.71,135.14,137.66,166.97,167.25,125.85,127.46,123.03,129.43,135.57,159.27,168.4,123.64,121.21,125.82,129.44,135.22,166.31,174.72,120.78,119.13,121.77,130.24,136.29,154.56,171.01,124.33,119.72,122.76,128.47,133.4,162.78,162.89
44,Rhode Island,sub-region,driving,United States,100.0,107.64,110.82,112.92,131.35,110.03,94.0,100.96,108.83,108.84,116.01,135.09,127.44,94.46,101.78,104.43,106.94,110.77,135.23,128.13,89.23,99.52,104.33,108.16,110.72,131.49,134.71,97.43,101.99,107.76,113.91,121.84,149.37,137.98,110.65,113.34,113.23,119.38,119.22,143.22,141.87,106.1,107.41,109.66,115.9,121.7,147.6,143.39,104.42,108.24,113.86,116.78,124.79,137.07,131.88,100.84,112.4,113.23,111.25,104.81,109.25,103.34,77.38,80.67,67.56,72.84,64.48,75.19,69.44,52.44,52.85,58.85,56.71,64.14,73.88,64.35,41.12,51.77,56.77,56.68,54.35,60.16,57.72,47.01,59.24,60.48,57.15,55.63,69.92,66.28,41.5,47.03,67.48,65.91,68.25,76.84,61.22,63.09,66.68,62.52,68.61,71.71,73.89,84.3,53.57,63.64,73.51,78.81,71.58,86.28,91.56,79.15,78.73,86.14,83.31,86.24,95.93,93.88,77.62,,,98.16,104.04,114.43,121.53,93.14,96.23,106.89,113.08,114.63,142.31,109.67,111.99,96.97,120.18,126.89,118.49,134.11,139.0,118.98,123.8,120.22,122.71,143.75,146.47,144.03,121.6,136.83,143.48,141.35,130.58,170.89,169.22,136.6,136.22,148.24,150.72,156.62,184.42,187.25,135.25,147.38,163.74,157.19,169.61,191.64,169.18,143.74,146.35,154.4,160.78,189.23,180.78,157.46,150.14,159.28,161.42,161.77,176.33,174.16,181.36,175.99,158.46,160.93,169.7,174.6,182.03,202.21,165.53,162.48,170.15,164.96,167.56,192.91,195.91,163.38,169.75,166.04,174.07,172.72,188.25,199.7,152.2,168.7,151.14,173.35,171.96,182.95,177.55,149.86,150.49,159.68,159.79,162.98,186.5,173.89,131.79,155.49,162.37,163.36,171.19,192.12,184.91,153.0,154.77,159.4,164.8,154.42,189.25,162.1,156.73,152.33,160.26,149.31,167.05,202.03,191.37,168.09,158.09,166.15,157.87,155.9,192.37,191.51,140.7,147.77,151.33,152.73,156.58,182.77,186.92,139.76,137.37,136.81,142.53,146.44,176.53,179.27,132.61,131.72,132.91,135.36,145.99,165.26,174.34,131.24,123.74,131.17,133.69,143.72,170.92,175.59,135.06,110.02,119.04,139.93,141.22,156.24,160.39,127.1,129.39,128.1,131.42,140.06,167.34,166.33
45,South Carolina,sub-region,driving,United States,100.0,101.25,105.61,112.91,133.37,119.85,90.17,107.18,102.14,103.74,107.43,120.82,120.57,83.1,97.28,101.56,103.09,112.05,125.43,123.41,86.12,101.66,104.08,104.82,100.13,127.38,116.49,92.47,106.23,109.08,111.47,125.5,155.65,140.31,101.55,115.48,109.87,112.2,109.87,138.98,138.34,97.27,104.88,111.76,118.46,127.62,155.19,152.38,106.75,114.07,114.31,115.32,119.93,156.92,154.94,111.2,121.58,123.01,125.08,129.22,148.73,135.32,95.19,101.76,93.45,89.87,91.26,98.45,84.24,55.76,67.96,66.19,72.29,73.02,82.71,73.78,55.24,69.31,65.42,68.65,69.81,77.16,65.46,50.05,68.17,65.53,65.4,70.19,75.18,65.12,38.57,70.32,76.34,77.89,80.76,90.75,81.51,55.09,77.05,84.07,85.17,77.57,97.88,87.86,69.7,88.65,91.31,90.07,95.02,112.2,105.33,85.75,102.26,101.88,106.88,112.57,123.39,122.13,88.75,,,118.97,128.07,150.06,154.11,121.39,126.6,126.45,125.27,139.33,171.24,173.46,135.36,130.32,140.49,133.65,145.15,160.86,164.66,126.2,144.53,144.79,150.19,157.65,179.21,186.21,142.5,152.87,155.08,153.26,163.26,188.22,198.56,146.31,155.83,153.98,156.71,166.45,194.18,204.49,143.48,161.78,159.67,161.22,170.95,193.92,198.58,148.11,159.65,159.59,170.97,183.91,188.5,161.78,147.26,158.0,150.82,155.56,165.03,187.74,190.6,140.36,156.19,157.93,161.2,167.35,190.07,194.29,144.15,155.08,156.49,160.37,168.3,189.94,195.68,147.19,158.7,158.81,160.54,167.08,185.81,190.73,140.25,139.91,156.69,159.28,167.13,187.72,190.01,146.91,157.53,158.1,162.72,168.51,192.88,190.68,149.66,159.87,157.33,158.24,165.31,184.99,182.73,137.09,145.19,146.41,152.18,158.11,183.99,176.97,134.35,144.05,149.84,152.32,165.75,205.43,196.25,159.45,153.89,150.08,146.22,157.0,185.11,181.96,136.91,147.8,148.33,146.93,144.29,183.38,183.72,136.1,144.18,143.61,144.9,152.67,178.17,175.91,130.3,132.35,131.6,142.07,154.73,180.62,179.83,130.83,137.48,139.49,143.41,154.41,180.95,165.78,123.92,139.87,139.69,143.28,153.82,183.2,179.12,133.8,136.88,141.32,141.2,150.64,182.67,174.36
46,South Dakota,sub-region,driving,United States,100.0,107.27,101.82,113.13,84.75,84.77,93.05,110.21,106.51,107.61,111.39,142.88,153.83,105.29,99.46,104.72,104.17,113.55,138.9,155.81,98.89,101.27,106.86,105.38,118.58,136.25,147.95,100.34,104.38,111.72,93.69,118.91,161.56,164.59,121.69,121.56,111.77,109.36,126.84,154.63,165.37,118.23,107.14,107.89,117.78,131.06,162.36,172.24,120.96,115.3,124.01,122.87,132.49,170.67,176.63,121.49,122.52,127.74,122.75,123.32,135.17,109.15,98.42,100.15,103.47,101.59,83.9,98.56,88.74,70.85,83.05,82.93,74.84,79.46,89.8,73.84,67.16,78.22,80.5,81.6,64.8,77.92,77.62,65.12,83.6,90.32,83.93,82.4,100.72,73.67,40.76,73.19,77.93,83.47,86.51,105.28,100.02,77.26,93.54,100.21,106.42,106.46,118.75,109.34,98.26,109.73,107.83,115.14,125.01,151.92,132.12,110.21,113.0,119.79,124.95,129.09,160.24,138.34,108.08,,,143.44,154.43,181.21,161.97,147.31,167.84,167.9,173.74,187.64,234.86,223.07,191.5,181.46,185.62,193.54,198.65,227.51,218.24,186.06,195.5,194.65,203.48,214.2,251.56,230.99,213.68,210.82,204.69,225.99,246.99,285.36,278.21,240.31,239.34,241.61,247.76,256.59,308.29,303.97,252.46,259.16,264.81,276.5,294.68,351.89,351.36,301.46,289.1,282.93,304.95,334.33,361.59,294.01,292.21,289.96,287.93,291.24,310.04,364.16,363.51,310.49,290.58,288.9,299.81,320.08,369.91,359.61,308.72,296.55,298.5,307.96,327.03,374.12,369.81,313.82,305.47,293.07,300.23,322.61,362.75,365.51,320.79,316.59,302.88,317.59,340.15,392.39,381.68,339.65,321.62,316.72,317.35,336.12,370.47,365.15,302.49,289.79,274.39,276.28,286.05,345.11,336.12,269.04,247.26,244.79,240.48,264.04,312.52,312.92,244.72,232.43,234.55,238.83,270.09,355.62,346.87,300.31,258.11,225.35,227.06,250.27,294.55,305.77,244.81,233.8,230.31,228.39,255.47,301.6,305.39,234.57,218.12,220.37,222.24,248.14,287.31,289.54,218.38,201.04,198.3,195.67,210.9,252.1,258.97,208.24,194.18,198.38,197.9,212.25,265.12,272.95,200.81,196.87,185.03,186.4,217.82,267.15,241.81,184.03,173.07,164.58,171.55,169.45,210.49,183.14
47,Tennessee,sub-region,driving,United States,100.0,102.07,101.38,108.97,129.6,121.24,91.22,101.07,99.69,100.58,104.65,120.3,116.52,81.04,96.09,100.33,100.07,107.62,125.82,118.92,85.62,98.37,99.63,99.95,107.1,114.71,112.82,90.6,100.26,105.51,104.51,118.19,146.97,137.3,101.5,111.2,104.83,109.0,108.27,135.27,133.91,92.91,102.47,110.97,111.1,120.29,145.63,147.72,105.27,109.71,127.6,125.91,130.8,148.88,148.76,109.05,117.34,117.11,116.44,113.53,128.56,113.4,82.9,90.64,86.31,81.43,82.17,83.15,75.81,53.36,62.76,57.94,64.03,70.25,76.4,66.97,55.0,64.52,58.97,64.54,66.52,69.84,60.35,48.65,62.62,62.55,64.34,68.07,73.67,65.33,36.99,66.18,67.89,74.43,77.04,86.02,79.19,56.13,78.49,78.92,77.94,76.21,91.24,76.25,62.55,83.09,84.4,81.64,90.57,106.2,101.89,78.38,94.16,95.46,96.88,103.57,107.78,113.71,81.79,,,107.48,120.5,133.7,129.41,97.42,113.04,116.02,119.05,127.56,144.88,139.76,112.39,109.86,122.76,122.79,131.08,151.81,150.88,115.41,127.71,127.68,129.62,135.64,155.3,156.45,121.67,130.14,131.3,138.39,147.82,169.42,169.15,127.75,139.9,141.22,142.27,151.09,178.54,170.77,118.63,139.06,141.51,149.85,157.43,177.67,174.34,132.86,142.01,143.7,148.36,165.73,169.85,137.71,126.18,146.19,145.09,146.71,152.59,176.02,170.72,123.97,143.81,147.04,150.09,154.1,174.6,171.65,131.59,144.38,143.25,144.57,151.37,174.28,169.96,132.75,144.62,144.17,147.05,151.57,167.87,169.96,132.52,145.86,146.13,149.86,158.33,177.69,174.45,133.43,142.86,144.51,145.28,154.22,176.27,174.73,134.48,144.59,143.71,142.29,151.5,171.41,169.36,128.56,137.02,136.84,138.0,144.37,153.69,159.11,117.84,131.94,137.01,139.07,151.75,186.12,182.77,145.23,133.66,139.19,139.65,150.33,173.94,167.73,124.09,137.91,140.26,141.65,150.91,178.37,182.15,129.79,133.3,133.46,131.16,137.21,166.11,166.52,125.02,125.96,128.2,133.92,144.86,170.74,170.01,125.41,133.23,134.59,138.22,148.53,173.57,152.32,123.01,136.5,137.32,139.52,149.34,178.53,179.27,130.62,132.68,134.59,138.5,152.58,176.21,168.53
